sample_idx,time_s,signal_v,ipg_est_mv
0,0.000000,0.08445710,0.084457
1,0.001953,0.08119160,0.081192
2,0.003906,0.03487173,0.034872
3,0.005859,-0.02625251,-0.026253
4,0.007812,-0.04725939,-0.047259
5,0.009766,-0.05853596,-0.058536
6,0.011719,-0.07211844,-0.072118
7,0.013672,-0.07414040,-0.074140
8,0.015625,-0.06998247,-0.069982
9,0.017578,-0.02874186,-0.028742
10,0.019531,-0.01836894,-0.018369
11,0.021484,0.03172209,0.031722
12,0.023438,0.06379126,0.063791
13,0.025391,0.08140213,0.081402
14,0.027344,0.12343924,0.123439
15,0.029297,0.08179830,0.081798
16,0.031250,0.08701213,0.087012
17,0.033203,0.15382737,0.153827
18,0.035156,0.16044344,0.160443
19,0.037109,0.17163559,0.171636
20,0.039062,0.17287963,0.172880
21,0.041016,0.20794813,0.207948
22,0.042969,0.20430249,0.204302
23,0.044922,0.18669242,0.186692
24,0.046875,0.15998175,0.159982
25,0.048828,0.09088608,0.090886
26,0.050781,0.06390256,0.063903
27,0.052734,0.05575948,0.055759
28,0.054688,0.06607738,0.066077
29,0.056641,0.11354510,0.113545
30,0.058594,0.12286855,0.122869
31,0.060547,0.14621247,0.146212
32,0.062500,0.14602957,0.146030
33,0.064453,0.16505090,0.165051
34,0.066406,0.13547597,0.135476
35,0.068359,0.16510796,0.165108
36,0.070312,0.16171894,0.161719
37,0.072266,0.15508244,0.155082
38,0.074219,0.15732768,0.157328
39,0.076172,0.14621830,0.146218
40,0.078125,0.16181974,0.161820
41,0.080078,0.14329444,0.143294
42,0.082031,0.14406441,0.144064
43,0.083984,0.12241722,0.122417
44,0.085938,0.15138761,0.151388
45,0.087891,0.15977630,0.159776
46,0.089844,0.18606094,0.186061
47,0.091797,0.20219692,0.202197
48,0.093750,0.16623253,0.166233
49,0.095703,0.19817223,0.198172
50,0.097656,0.19835477,0.198355
51,0.099609,0.21472197,0.214722
52,0.101562,0.22897945,0.228979
53,0.103516,0.19493152,0.194932
54,0.105469,0.20519789,0.205198
55,0.107422,0.22586401,0.225864
56,0.109375,0.21207728,0.212077
57,0.111328,0.24750108,0.247501
58,0.113281,0.24316065,0.243161
59,0.115234,0.22747197,0.227472
60,0.117188,0.20161564,0.201616
61,0.119141,0.21786933,0.217869
62,0.121094,0.26951580,0.269516
63,0.123047,0.25242997,0.252430
64,0.125000,0.21149401,0.211494
65,0.126953,0.21589241,0.215892
66,0.128906,0.23845428,0.238454
67,0.130859,0.21121808,0.211218
68,0.132812,0.24852932,0.248529
69,0.134766,0.22519575,0.225196
70,0.136719,0.24494531,0.244945
71,0.138672,0.22752578,0.227526
72,0.140625,0.24597791,0.245978
73,0.142578,0.24799343,0.247993
74,0.144531,0.23082936,0.230829
75,0.146484,0.22374375,0.223744
76,0.148438,0.21050513,0.210505
77,0.150391,0.17358840,0.173588
78,0.152344,0.19625214,0.196252
79,0.154297,0.17125274,0.171253
80,0.156250,0.18103861,0.181039
81,0.158203,0.16490459,0.164905
82,0.160156,0.13019184,0.130192
83,0.162109,0.11142774,0.111428
84,0.164062,0.10444343,0.104443
85,0.166016,0.11447380,0.114474
86,0.167969,0.12266831,0.122668
87,0.169922,0.13723085,0.137231
88,0.171875,0.16968026,0.169680
89,0.173828,0.21105037,0.211050
90,0.175781,0.22846251,0.228463
91,0.177734,0.27973047,0.279730
92,0.179688,0.26907494,0.269075
93,0.181641,0.25185116,0.251851
94,0.183594,0.22481348,0.224813
95,0.185547,0.21876651,0.218767
96,0.187500,0.27270582,0.272706
97,0.189453,0.25475243,0.254752
98,0.191406,0.25139159,0.251392
99,0.193359,0.22948075,0.229481
100,0.195312,0.21208039,0.212080
101,0.197266,0.21911179,0.219112
102,0.199219,0.20646465,0.206465
103,0.201172,0.22469821,0.224698
104,0.203125,0.21658126,0.216581
105,0.205078,0.18344191,0.183442
106,0.207031,0.18454197,0.184542
107,0.208984,0.16909676,0.169097
108,0.210938,0.17452981,0.174530
109,0.212891,0.18839637,0.188396
110,0.214844,0.18858822,0.188588
111,0.216797,0.17991817,0.179918
112,0.218750,0.17743291,0.177433
113,0.220703,0.16565273,0.165653
114,0.222656,0.12640473,0.126405
115,0.224609,0.14192206,0.141922
116,0.226562,0.14998263,0.149983
117,0.228516,0.15374230,0.153742
118,0.230469,0.14931552,0.149316
119,0.232422,0.17396663,0.173967
120,0.234375,0.18378700,0.183787
121,0.236328,0.17957636,0.179576
122,0.238281,0.18772985,0.187730
123,0.240234,0.20176024,0.201760
124,0.242188,0.18396210,0.183962
125,0.244141,0.15083941,0.150839
126,0.246094,0.15735386,0.157354
127,0.248047,0.17582474,0.175825
128,0.250000,0.17240434,0.172404
129,0.251953,0.15474743,0.154747
130,0.253906,0.13643411,0.136434
131,0.255859,0.17679526,0.176795
132,0.257812,0.17693655,0.176937
133,0.259766,0.15670157,0.156702
134,0.261719,0.18243381,0.182434
135,0.263672,0.20504769,0.205048
136,0.265625,0.17554391,0.175544
137,0.267578,0.20061939,0.200619
138,0.269531,0.20979946,0.209799
139,0.271484,0.23824212,0.238242
140,0.273438,0.24565301,0.245653
141,0.275391,0.20606244,0.206062
142,0.277344,0.20547869,0.205479
143,0.279297,0.17517528,0.175175
144,0.281250,0.17577486,0.175775
145,0.283203,0.18284062,0.182841
146,0.285156,0.19167053,0.191671
147,0.287109,0.17884919,0.178849
148,0.289062,0.17372392,0.173724
149,0.291016,0.18895176,0.188952
150,0.292969,0.21658854,0.216589
151,0.294922,0.21953236,0.219532
152,0.296875,0.20340395,0.203404
153,0.298828,0.21115018,0.211150
154,0.300781,0.21372921,0.213729
155,0.302734,0.22927366,0.229274
156,0.304688,0.19872295,0.198723
157,0.306641,0.22561925,0.225619
158,0.308594,0.21614213,0.216142
159,0.310547,0.20838987,0.208390
160,0.312500,0.24859282,0.248593
161,0.314453,0.18497121,0.184971
162,0.316406,0.15956068,0.159561
163,0.318359,0.12680029,0.126800
164,0.320312,0.14438317,0.144383
165,0.322266,0.15751024,0.157510
166,0.324219,0.15978187,0.159782
167,0.326172,0.16504779,0.165048
168,0.328125,0.15086442,0.150864
169,0.330078,0.17079722,0.170797
170,0.332031,0.14769902,0.147699
171,0.333984,0.15636723,0.156367
172,0.335938,0.17882080,0.178821
173,0.337891,0.17800912,0.178009
174,0.339844,0.18857433,0.188574
175,0.341797,0.20376707,0.203767
176,0.343750,0.18509252,0.185093
177,0.345703,0.15831016,0.158310
178,0.347656,0.19448427,0.194484
179,0.349609,0.20909059,0.209091
180,0.351562,0.22031372,0.220314
181,0.353516,0.21120057,0.211201
182,0.355469,0.20877250,0.208773
183,0.357422,0.25489020,0.254890
184,0.359375,0.24906076,0.249061
185,0.361328,0.24370391,0.243704
186,0.363281,0.20945411,0.209454
187,0.365234,0.17729329,0.177293
188,0.367188,0.17888267,0.178883
189,0.369141,0.20921236,0.209212
190,0.371094,0.21746012,0.217460
191,0.373047,0.21881989,0.218820
192,0.375000,0.22060174,0.220602
193,0.376953,0.24824990,0.248250
194,0.378906,0.28504691,0.285047
195,0.380859,0.26617317,0.266173
196,0.382812,0.27205845,0.272058
197,0.384766,0.26560009,0.265600
198,0.386719,0.27936212,0.279362
199,0.388672,0.25962422,0.259624
200,0.390625,0.22015829,0.220158
201,0.392578,0.21112051,0.211121
202,0.394531,0.24352121,0.243521
203,0.396484,0.24404265,0.244043
204,0.398438,0.23248911,0.232489
205,0.400391,0.19983104,0.199831
206,0.402344,0.20327236,0.203272
207,0.404297,0.21114883,0.211149
208,0.406250,0.18430194,0.184302
209,0.408203,0.18448464,0.184485
210,0.410156,0.20812480,0.208125
211,0.412109,0.19947895,0.199479
212,0.414062,0.19532809,0.195328
213,0.416016,0.19637964,0.196380
214,0.417969,0.12325672,0.123257
215,0.419922,0.08269855,0.082699
216,0.421875,0.08916878,0.089169
217,0.423828,0.12532369,0.125324
218,0.425781,0.13402097,0.134021
219,0.427734,0.14153613,0.141536
220,0.429688,0.11355940,0.113559
221,0.431641,0.15102248,0.151022
