sample_idx,time_s,signal_v,ipg_est_mv
0,0.000000,-0.02570167,-0.025702
1,0.001953,-0.03429215,-0.034292
2,0.003906,-0.05182915,-0.051829
3,0.005859,-0.02509854,-0.025099
4,0.007812,-0.01253944,-0.012539
5,0.009766,-0.02286444,-0.022864
6,0.011719,-0.05784561,-0.057846
7,0.013672,-0.11792138,-0.117921
8,0.015625,-0.07573337,-0.075733
9,0.017578,-0.07720515,-0.077205
10,0.019531,-0.10303879,-0.103039
11,0.021484,-0.11780454,-0.117805
12,0.023438,-0.11643960,-0.116440
13,0.025391,-0.10427679,-0.104277
14,0.027344,-0.12104918,-0.121049
15,0.029297,-0.05747155,-0.057472
16,0.031250,-0.12713906,-0.127139
17,0.033203,-0.12049206,-0.120492
18,0.035156,-0.13970154,-0.139702
19,0.037109,-0.11290947,-0.112909
20,0.039062,-0.08886321,-0.088863
21,0.041016,-0.12282872,-0.122829
22,0.042969,-0.16153525,-0.161535
23,0.044922,-0.13110705,-0.131107
24,0.046875,-0.16806565,-0.168066
25,0.048828,-0.15998658,-0.159987
26,0.050781,-0.14520292,-0.145203
27,0.052734,-0.17440669,-0.174407
28,0.054688,-0.14681319,-0.146813
29,0.056641,-0.14378780,-0.143788
30,0.058594,-0.16565268,-0.165653
31,0.060547,-0.18178270,-0.181783
32,0.062500,-0.12095270,-0.120953
33,0.064453,-0.09332285,-0.093323
34,0.066406,-0.10271939,-0.102719
35,0.068359,-0.08860273,-0.088603
36,0.070312,-0.07111470,-0.071115
37,0.072266,-0.07794274,-0.077943
38,0.074219,-0.08851292,-0.088513
39,0.076172,-0.07621802,-0.076218
40,0.078125,-0.07149040,-0.071490
41,0.080078,-0.11853791,-0.118538
42,0.082031,-0.16106403,-0.161064
43,0.083984,-0.10511956,-0.105120
44,0.085938,-0.12109992,-0.121100
45,0.087891,-0.16634129,-0.166341
46,0.089844,-0.19831680,-0.198317
47,0.091797,-0.14845778,-0.148458
48,0.093750,-0.08853384,-0.088534
49,0.095703,-0.08740019,-0.087400
50,0.097656,-0.12421219,-0.124212
51,0.099609,-0.12360185,-0.123602
52,0.101562,-0.12136998,-0.121370
53,0.103516,-0.08801521,-0.088015
54,0.105469,-0.12393902,-0.123939
55,0.107422,-0.13339785,-0.133398
56,0.109375,-0.15435166,-0.154352
57,0.111328,-0.16367156,-0.163672
58,0.113281,-0.13778194,-0.137782
59,0.115234,-0.11556944,-0.115569
60,0.117188,-0.11464323,-0.114643
61,0.119141,-0.07089510,-0.070895
62,0.121094,-0.09427400,-0.094274
63,0.123047,-0.09816297,-0.098163
64,0.125000,-0.12443753,-0.124438
65,0.126953,-0.19559277,-0.195593
66,0.128906,-0.19652045,-0.196520
67,0.130859,-0.18215241,-0.182152
68,0.132812,-0.19754248,-0.197542
69,0.134766,-0.16508164,-0.165082
70,0.136719,-0.15928474,-0.159285
71,0.138672,-0.13424391,-0.134244
72,0.140625,-0.13887147,-0.138871
73,0.142578,-0.14825428,-0.148254
74,0.144531,-0.13949546,-0.139495
75,0.146484,-0.18993307,-0.189933
76,0.148438,-0.19898548,-0.198985
77,0.150391,-0.21192164,-0.211922
78,0.152344,-0.23424827,-0.234248
79,0.154297,-0.19276315,-0.192763
80,0.156250,-0.13497343,-0.134973
81,0.158203,-0.16063725,-0.160637
82,0.160156,-0.13494937,-0.134949
83,0.162109,-0.11819248,-0.118192
84,0.164062,-0.08667434,-0.086674
85,0.166016,-0.07198353,-0.071984
86,0.167969,-0.06766396,-0.067664
87,0.169922,-0.10762563,-0.107626
88,0.171875,-0.09610010,-0.096100
89,0.173828,-0.06539732,-0.065397
90,0.175781,-0.16201763,-0.162018
91,0.177734,-0.10165581,-0.101656
92,0.179688,-0.11298739,-0.112987
93,0.181641,-0.10563496,-0.105635
94,0.183594,-0.13962914,-0.139629
95,0.185547,-0.12770797,-0.127708
96,0.187500,-0.11293476,-0.112935
97,0.189453,-0.10013558,-0.100136
98,0.191406,-0.10540951,-0.105410
99,0.193359,-0.08047231,-0.080472
