sample_idx,time_s,ao_v,ipg_est_mv,source_signal_uv
0,0.000000,-0.02570167,-0.025702,-2.570167
1,0.001953,-0.03429215,-0.034292,-3.429215
2,0.003906,-0.05182915,-0.051829,-5.182915
3,0.005859,-0.02509854,-0.025099,-2.509854
4,0.007812,-0.01253944,-0.012539,-1.253944
5,0.009766,-0.02286444,-0.022864,-2.286444
6,0.011719,-0.05784561,-0.057846,-5.784561
7,0.013672,-0.11792138,-0.117921,-11.792138
8,0.015625,-0.07573337,-0.075733,-7.573337
9,0.017578,-0.07720515,-0.077205,-7.720515
10,0.019531,-0.10303879,-0.103039,-10.303879
11,0.021484,-0.11780454,-0.117805,-11.780454
12,0.023438,-0.11643960,-0.116440,-11.643960
13,0.025391,-0.10427679,-0.104277,-10.427679
14,0.027344,-0.12104918,-0.121049,-12.104918
15,0.029297,-0.05747155,-0.057472,-5.747155
16,0.031250,-0.12713906,-0.127139,-12.713906
17,0.033203,-0.12049206,-0.120492,-12.049206
18,0.035156,-0.13970154,-0.139702,-13.970154
19,0.037109,-0.11290947,-0.112909,-11.290947
20,0.039062,-0.08886321,-0.088863,-8.886321
21,0.041016,-0.12282872,-0.122829,-12.282872
22,0.042969,-0.16153525,-0.161535,-16.153525
23,0.044922,-0.13110705,-0.131107,-13.110705
24,0.046875,-0.16806565,-0.168066,-16.806565
25,0.048828,-0.15998658,-0.159987,-15.998658
26,0.050781,-0.14520292,-0.145203,-14.520292
27,0.052734,-0.17440669,-0.174407,-17.440669
28,0.054688,-0.14681319,-0.146813,-14.681319
29,0.056641,-0.14378780,-0.143788,-14.378780
30,0.058594,-0.16565268,-0.165653,-16.565268
31,0.060547,-0.18178270,-0.181783,-18.178270
32,0.062500,-0.12095270,-0.120953,-12.095270
33,0.064453,-0.09332285,-0.093323,-9.332285
34,0.066406,-0.10271939,-0.102719,-10.271939
35,0.068359,-0.08860273,-0.088603,-8.860273
36,0.070312,-0.07111470,-0.071115,-7.111470
37,0.072266,-0.07794274,-0.077943,-7.794274
38,0.074219,-0.08851292,-0.088513,-8.851292
39,0.076172,-0.07621802,-0.076218,-7.621802
40,0.078125,-0.07149040,-0.071490,-7.149040
41,0.080078,-0.11853791,-0.118538,-11.853791
42,0.082031,-0.16106403,-0.161064,-16.106403
43,0.083984,-0.10511956,-0.105120,-10.511956
44,0.085938,-0.12109992,-0.121100,-12.109992
45,0.087891,-0.16634129,-0.166341,-16.634129
46,0.089844,-0.19831680,-0.198317,-19.831680
47,0.091797,-0.14845778,-0.148458,-14.845778
48,0.093750,-0.08853384,-0.088534,-8.853384
49,0.095703,-0.08740019,-0.087400,-8.740019
50,0.097656,-0.12421219,-0.124212,-12.421219
51,0.099609,-0.12360185,-0.123602,-12.360185
52,0.101562,-0.12136998,-0.121370,-12.136998
53,0.103516,-0.08801521,-0.088015,-8.801521
54,0.105469,-0.12393902,-0.123939,-12.393902
